"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.340415486307838,0.0457979225684608,0.0231350330500472,0.0118035882908404,0.135033050047214,0.184608120868744,0.0500472143531634,0.0259678942398489,0.0316336166194523,0.0146364494806421,0.0132200188857413,0.0174693106704438,0.0812086874409821,0.0132200188857413,0.0118035882908404
"2",0.219219219219219,0.039039039039039,0.0480480480480481,0.0480480480480481,0.03003003003003,0.0930930930930931,0.0480480480480481,0.0570570570570571,0.0480480480480481,0.0480480480480481,0.039039039039039,0.0480480480480481,0.039039039039039,0.129129129129129,0.0660660660660661
"3",0.344384707287933,0.0235961768219833,0.00746714456391876,0.00657108721624851,0.166965352449223,0.218040621266428,0.0415173237753883,0.0128434886499403,0.022700119474313,0.0209080047789725,0.022700119474313,0.019115890083632,0.0639187574671446,0.0209080047789725,0.00836320191158901
"4",0.244548286604361,0.0319314641744548,0.0120716510903427,0.0412772585669782,0.109034267912773,0.217679127725857,0.13006230529595,0.0681464174454829,0.0179127725856698,0.0319314641744548,0.0132398753894081,0.0190809968847352,0.0132398753894081,0.0424454828660436,0.007398753894081
"5",0.334908632640202,0.0163831127914304,0.0343415248897291,0.0192186515437933,0.106175173282924,0.203528670447385,0.0872715816005041,0.0248897290485192,0.0428481411468179,0.0173282923755514,0.0192186515437933,0.0107120352867045,0.0277252678008822,0.0305608065532451,0.0248897290485192
"6",0.365461847389558,0.00917957544463569,0.00917957544463569,0.0143430866322433,0.195065978198508,0.150315547905909,0.0522088353413655,0.0143430866322433,0.0608146873207114,0.0281124497991968,0.0315547905909352,0.00917957544463569,0.0229489386115892,0.0109007458405049,0.0263912794033276
"7",0.318816303740927,0.0223338916806253,0.0407593523171413,0.0575097710776103,0.10608598548297,0.0809603573422669,0.062534896705751,0.0139586823003908,0.139586823003908,0.0307091010608599,0.0173087660524846,0.0424343941931882,0.0340591848129537,0.0240089335566722,0.00893355667225014
"8",0.452557755775578,0.00948844884488449,0.0200082508250825,0.00763201320132013,0.0212458745874587,0.23473597359736,0.00886963696369637,0.00825082508250825,0.158622112211221,0.00763201320132013,0.0150577557755776,0.011963696369637,0.0181518151815181,0.00948844884488449,0.0162953795379538
"9",0.414392462638077,0.00893437296946069,0.0099090318388564,0.00211176088369071,0.00795971410006498,0.17267706302794,0.00844704353476283,0.00844704353476283,0.2954840805718,0.00211176088369071,0.00357374918778428,0.00406107862248213,0.0152696556205328,0.0123456790123457,0.0342755035737492
"10",0.295851013672796,0.02003771805752,0.00942951438000943,0.0327675624705328,0.147336162187647,0.273927392739274,0.049033474776049,0.00872230080150872,0.0773220179160773,0.00518623290900519,0.0143800094295144,0.00801508722300802,0.0256954266855257,0.0221593587930222,0.0101367279585101
"11",0.399547255234861,0.0175438596491228,0.0141482739105829,0.0158460667798529,0.151669496321449,0.197509903791737,0.0243350311262026,0.0192416525183928,0.0514997170345218,0.0141482739105829,0.0226372382569327,0.0277306168647425,0.0260328239954726,0.00735710243350311,0.010752688172043
"12",0.34613244296049,0.0189204229271007,0.0255982192543127,0.0255982192543127,0.0356149137451308,0.319421257651642,0.0523094045631608,0.0155815247634947,0.0222593210907067,0.0172509738452977,0.0255982192543127,0.0239287701725097,0.0139120756816917,0.0422927100723428,0.0155815247634947
"13",0.391812865497076,0.020811833505332,0.0104919160646715,0.0135878912968696,0.0698314413484692,0.284485724114207,0.0414516683866529,0.021327829377365,0.0228758169934641,0.0161678706570347,0.0156518747850017,0.00842793257653939,0.0574475404196766,0.0177158582731338,0.00791193670450636
"14",0.332380704945007,0.00943968130250281,0.00632198839525418,0.00190525677665194,0.0198319909933316,0.266129730665974,0.0206114142201438,0.018532952281978,0.00917987356023209,0.00294448774573482,0.00684160387979562,0.00580237291071274,0.287953581016714,0.00736121936433706,0.00476314194162986
"15",0.331038439472174,0.0061675272518646,0.0160642570281125,0.0065978198508319,0.0130522088353414,0.460986804360298,0.0479059093516925,0.0177854274239816,0.0190763052208835,0.0225186460126219,0.00831899024670109,0.0061675272518646,0.0113310384394722,0.00401606425702811,0.0289730349971314
